TIME,COMPUTER CHOOSE,PLAYER CHOOSE,RESULT,WINNER_NO
2023-01-17 16:45:32.240037,PAPER,PAPER,Its a Tie,2
2023-01-17 16:45:39.680104,ROCK,SCISSORS,You Loose,3
2023-01-17 16:45:45.390928,ROCK,ROCK,Its a Tie,2
2023-01-17 16:45:50.046986,SCISSORS,PAPER,You Loose,3
2023-01-17 16:45:54.174976,PAPER,ROCK,You Loose,3
2023-01-17 16:45:58.526958,ROCK,PAPER,You Won,1
2023-01-17 17:44:12.126777,ROCK,ROCK,Its a Tie,2
2023-01-17 17:44:17.615923,PAPER,PAPER,Its a Tie,2
2023-01-17 17:45:12.926854,ROCK,ROCK,Its a Tie,2
2023-01-25 17:29:17.453758,SCISSORS,PAPER,You Loose,3
2023-01-25 17:29:22.220594,ROCK,ROCK,Its a Tie,2
2023-01-25 17:29:26.205652,SCISSORS,PAPER,You Loose,3
2023-01-25 17:29:29.548685,PAPER,ROCK,You Loose,3
2023-01-25 17:29:35.133704,PAPER,SCISSORS,You Won,1
2023-03-28 16:48:21.781043,SCISSORS,ROCK,You Won,1
2023-03-28 16:48:27.652744,SCISSORS,PAPER,You Loose,3
2023-03-28 16:48:32.885444,SCISSORS,ROCK,You Won,1
2023-03-28 16:48:39.184465,PAPER,ROCK,You Loose,3
2023-07-09 17:17:07.551341,ROCK,ROCK,Its a Tie,2
2023-07-09 17:17:12.815775,SCISSORS,PAPER,You Loose,3
2023-07-09 17:17:18.303651,SCISSORS,PAPER,You Loose,3
2023-07-09 17:17:22.687176,ROCK,ROCK,Its a Tie,2
2023-07-09 17:17:26.686999,ROCK,SCISSORS,You Loose,3
2023-07-09 17:17:30.943732,PAPER,PAPER,Its a Tie,2
2023-07-09 17:17:35.551079,SCISSORS,SCISSORS,Its a Tie,2
2023-07-09 17:17:39.727517,PAPER,SCISSORS,You Won,1
